1	9949
2	10093
3	9969
4	10050
5	10016
6	10069
7	10007
8	10049
9	9908
10	9991
11	9917
12	9812
13	10157
14	9949
15	9959
16	9903
17	10005
18	10033
19	9996
20	9862
21	9881
22	9936
23	9848
24	10069
25	9959
26	9989
27	10066
28	9949
29	10160
30	9933
31	9959
32	9964
33	10039
34	10056
35	9921
36	10033
37	9810
38	10119
39	10006
40	10140
41	10072
42	9948
43	9740
44	10045
45	9895
46	10053
47	10129
48	9976
49	10179
50	9954
51	9958
52	9919
53	10092
54	9924
55	10001
56	9954
57	9987
58	10194
59	10011
60	10028
61	10039
62	10067
63	9971
64	9927
65	10006
66	9940
67	10033
68	9772
69	9883
70	9995
71	10187
72	9878
73	9883
74	9920
75	9817
76	9952
77	9873
78	10149
79	10075
80	9964
81	10028
82	10056
83	9979
84	10086
85	9948
86	10213
87	10014
88	9975
89	10115
90	9993
91	10120
92	9939
93	10233
94	10113
95	10026
96	9891
97	10088
98	10208
99	10084
100	9970
